MFG_ID,MFG_NAME,DISTINCT_NUMBER_OF_RECIPIENTS,DISTINCT_NUMBER_OF_RECPS_GILEAD,COMMON_NUM_OF_RECPS,PERC_OF_RECIPIENTS_GILEAD
1E+11,"Emd Serono, Inc.",6227,16657,1033,0.1659
1E+11,"Aegerion Pharmaceuticals, Inc.",409,16657,100,0.2445
1E+11,"Ascend Therapeutics Us, Llc",196,16657,3,0.0153
1E+11,Trireme Medical Llc,1,16657,0,0
1E+11,"Medimetriks Pharmaceuticals, Inc.",353,16657,2,0.0057
1E+11,Pacira Pharmaceuticals Incorporated,5261,16657,45,0.0086
1E+11,Eisai Inc.,7706,16657,1200,0.1557
1E+11,Astellas Pharma Us Inc,32660,16657,3706,0.1135
1E+11,"Surefire Medical, Inc.",46,16657,0,0
1E+11,"Teva Pharmaceuticals Usa, Inc.",21672,16657,1727,0.0797
1E+11,"Advanced Orthopaedic Solutions, Inc.",94,16657,0,0
1E+11,"Biolase, Inc.",893,16657,0,0
1E+11,Novo Nordisk Inc,46318,16657,3789,0.0818
1E+11,Astrazeneca Pharmaceuticals Lp,68859,16657,7396,0.1074
1E+11,"Pinnacle Biologics, Inc",165,16657,9,0.0545
1E+11,"Katena Products, Inc.",83,16657,0,0
1E+11,"Marco Ophthalmic, Inc.",616,16657,1,0.0016
1E+11,"Braintree Laboratories, Inc.",2613,16657,1244,0.4761
1E+11,Novo Nordisk Health Care Ag,24,16657,0,0
1E+11,Astrazeneca Ab,86,16657,6,0.0698
1E+11,The Walman Optical Company,27,16657,0,0
1E+11,Novo Nordisk As,300,16657,28,0.0933
1E+11,"Roche Tcrc, Inc.",10,16657,1,0.1
1E+11,Pfizer International Llc,46,16657,3,0.0652
1E+11,Olympus Corporation Of The Americas,558,16657,68,0.1219
1E+11,"Nidek Co., Ltd.",4,16657,1,0.25
1E+11,Zoll Services Llc (A/K/A Zoll Lifecor Corp),11395,16657,1558,0.1367
1E+11,Dynasplint Systems Inc.,406,16657,1,0.0025
1E+11,"Fujifilm Medical Systems Usa, Inc.",167,16657,26,0.1557
1E+11,Vertex Pharmaceuticals Incorporated,327,16657,134,0.4098
1E+11,Dentsply Sirona Inc,16447,16657,16,0.001
1E+11,Mission Pharmacal Company,2611,16657,63,0.0241
1E+11,Safco Dental Supply Llc,14,16657,0,0
1E+11,"Milliken Healthcare Products, Llc",89,16657,1,0.0112
1E+11,"Digestive Care, Inc.",16,16657,7,0.4375
1E+11,Abb Con-Cise Optical Group Llc,2375,16657,0,0
1E+11,"Biogen, Inc.",4373,16657,97,0.0222
1E+11,Daiichi Sankyo Inc.,12972,16657,2075,0.16
1E+11,Validus Pharmaceuticals Llc,240,16657,1,0.0042
1E+11,Philips Electronics North America Corporation,11741,16657,1011,0.0861
1E+11,Premier Dental Products Company,795,16657,0,0
1E+11,Amgen Inc.,67178,16657,6637,0.0988
1E+11,"Abbvie, Inc.",50842,16657,6789,0.1335
1E+11,"Vascular Solutions, Inc.",15,16657,2,0.1333
1E+11,Lsi Solutions Inc,265,16657,2,0.0075
1E+11,Monteris Medical Corporation,152,16657,6,0.0395
1E+11,"Vital Images, Inc.",17,16657,1,0.0588
1E+11,Acumed Llc,753,16657,11,0.0146
1E+11,Alcon Research Llc,782,16657,4,0.0051
1E+11,"Lensar, Inc.",155,16657,0,0
1E+11,"Noven Therapeutics, Llc",3,16657,0,0
1E+11,"Tosoh Bioscience, Inc.",341,16657,37,0.1085
1E+11,"Cadwell Industries, Inc",9,16657,0,0
1E+11,"Genentech Usa, Inc.",25994,16657,2760,0.1062
1E+11,Staar Surgical Company,285,16657,1,0.0035
1E+11,Novartis Pharmaceuticals Corporation,63043,16657,5661,0.0898
1E+11,Conmed Corporation,1188,16657,59,0.0497
1E+11,Us Endoscopy,26,16657,6,0.2308
1E+11,"Janssen Pharmaceuticals, Inc",61657,16657,5634,0.0914
1E+11,"Grifols Shared Services North America, Inc.",80,16657,2,0.025
1E+11,"Boehringer Ingelheim Pharmaceuticals, Inc.",47204,16657,5896,0.1249
1E+11,Lundbeck Llc,8201,16657,660,0.0805
1E+11,Instrumentation Laboratory Company,26,16657,1,0.0385
1E+11,Alcon Pharmaceuticals Ltd,1,16657,0,0
1E+11,Dash Medical Gloves Inc,106,16657,0,0
1E+11,"Ironwood Pharmaceuticals, Inc",3693,16657,1349,0.3653
1E+11,Corcept Therapeutics,2090,16657,205,0.0981
1E+11,Werfen Usa Llc,10,16657,1,0.1
1E+11,Sunovion Pharmaceuticals Inc.,20165,16657,1258,0.0624
1E+11,"Alkermes, Inc.",6501,16657,293,0.0451
1E+11,"Metrex Research, Llc",45,16657,0,0
1E+11,"Fresenius Usa Marketing, Inc.",2105,16657,37,0.0176
1E+11,Leo Pharma Inc.,2968,16657,18,0.0061
1E+11,"Pentax Of America, Inc.",93,16657,24,0.2581
1E+11,"Agiliti Health, Inc.",6,16657,0,0
1E+11,Strategic Dentistry Llc,37,16657,0,0
1E+11,Johnson & Johnson Health Care Systems Inc.,189,16657,19,0.1005
1E+11,Incyte Corporation,3065,16657,907,0.2959
1E+11,"Asuragen, Inc.",1,16657,0,0
1E+11,"Aesculap, Inc.",423,16657,18,0.0426
1E+11,Stereotaxis Inc,34,16657,1,0.0294
1E+11,Allergan Inc.,70670,16657,5616,0.0795
1E+11,"Seattle Genetics, Inc.",3013,16657,868,0.2881
1E+11,Canon Medical Systems Corporation,7,16657,0,0
1E+11,Implant Direct Sybron International Llc,1713,16657,1,0.0006
1E+11,"Eisai Co., Ltd.",12,16657,0,0
1E+11,Endo Pharmaceuticals Inc.,6836,16657,596,0.0872
1E+11,Pfizer Inc.,88970,16657,9112,0.1024
1E+11,Helsinn Healthcare Sa,14,16657,0,0
1E+11,Convatec Inc.,1625,16657,44,0.0271
1E+11,Osteogenics Biomedical Inc.,2,16657,0,0
1E+11,Terumo Medical Corporation,2143,16657,126,0.0588
1E+11,Kls-Martin L.P.,1147,16657,34,0.0296
1E+11,Pfizer Pharmaceuticals Llc,894,16657,16,0.0179
1E+11,Genzyme Corporation,18662,16657,1824,0.0977
1E+11,Orthosensor Inc.,66,16657,0,0
1E+11,Sanofi Pasteur Inc.,13375,16657,1068,0.0799
1E+11,3M Company,5386,16657,4,0.0007
1E+11,Bioventus Llc,5200,16657,87,0.0167
1E+11,"Meridian Medical Technologies, Inc.",1,16657,0,0
1E+11,"Osseus Fusion Systems, Llc",47,16657,0,0
1E+11,Ferring Pharmaceuticals Inc.,8107,16657,1248,0.1539
1E+11,"Optos, Inc.",2681,16657,1,0.0004
1E+11,Verathon Inc.,10,16657,1,0.1
1E+11,Duchesnay Usa Incorporated,4073,16657,80,0.0196
1E+11,B. Braun Medical Inc.,115,16657,6,0.0522
1E+11,"Oculus, Inc.",59,16657,0,0
1E+11,Kensey Nash,3,16657,0,0
1E+11,"Assertio Therapeutics, Inc.",2779,16657,75,0.027
1E+11,"Janssen Products, Lp",677,16657,537,0.7932
1E+11,"Carestream Health, Inc.",22,16657,0,0
1E+11,"Janssen Biotech, Inc.",20326,16657,4992,0.2456
1E+11,Eli Lilly Export S.A. Puerto Rico Branch,392,16657,7,0.0179
1E+11,"Janssen Scientific Affairs, Llc",3910,16657,856,0.2189
1E+11,Pfizer Corporation Hong Kong Limited,1,16657,0,0
1E+11,"Takeda Pharmaceuticals International, Inc.",19,16657,6,0.3158
1E+11,"Takeda Pharmaceuticals U.S.A., Inc.",29763,16657,5219,0.1754
1E+11,Haemonetics Corporation,209,16657,3,0.0144
1E+11,Celgene Corporation,10646,16657,1375,0.1292
1E+11,"Canon Medical Systems Usa, Inc.",225,16657,22,0.0978
1E+11,Ferring Research Institute Inc.,5,16657,1,0.2
1E+11,"Us Worldmeds, Llc",3431,16657,168,0.049
1E+11,"Kinamed, Inc.",13,16657,0,0
1E+11,Olympus Corporation,64,16657,2,0.0312
1E+11,Medicomp Inc,152,16657,31,0.2039
1E+11,Ferring International Pharmascience Center Us,21,16657,4,0.1905
1E+11,Ferring International Center Sa,9,16657,0,0
1E+11,Essential Dental Systems Incorporated,55,16657,0,0
1E+11,"Arthrex, Inc.",3312,16657,7,0.0021
1E+11,"Atricure, Inc.",2146,16657,146,0.068
1E+11,Ferring Pharmaceuticals As,10,16657,0,0
1E+11,"Merz North America, Inc.",5153,16657,76,0.0147
1E+11,"Kowa Pharmaceuticals America, Inc.",10398,16657,1522,0.1464
1E+11,"Avid Radiopharmaceuticals, Inc.",11,16657,0,0
1E+11,"Intuitive Surgical, Inc.",9648,16657,173,0.0179
1E+11,Cook Research Incorporated,25,16657,2,0.08
1E+11,"Dr.Reddy'S Laboratories,Inc.",37,16657,0,0
1E+11,"Hill-Rom Company, Inc",81,16657,16,0.1975
1E+11,"Hill-Rom Services, Inc",23,16657,2,0.087
1E+11,"Advanced Respiratory, Inc",1693,16657,344,0.2032
1E+11,"A-Dec, Inc.",2433,16657,0,0
1E+11,"Agiliti Surgical, Inc.",206,16657,0,0
1E+11,"Johnson & Johnson Vision Care, Inc.",9370,16657,2,0.0002
1E+11,"Lantheus Medical Imaging, Inc.",1067,16657,152,0.1425
1E+11,"Turn-Key Medical, Inc.",18,16657,0,0
1E+11,Alcon Vision Llc,18690,16657,33,0.0018
1E+11,Astellas Pharma Global Development,92,16657,2,0.0217
1E+11,Fujifilm Wako Diagnostics U.S.A. Corporation,52,16657,28,0.5385
1E+11,Cordis Corporation,3,16657,0,0
1E+11,Novocure Inc.,901,16657,73,0.081
1E+11,Axogen,2178,16657,6,0.0028
1E+11,Bsn Medical Inc,7,16657,0,0
1E+11,Roche Diagnostics Corporation,3648,16657,105,0.0288
1E+11,"Grifols Usa, Llc",5829,16657,683,0.1172
1E+11,Grifols Therapeutics Llc,9,16657,0,0
1E+11,Grifols Biologicals Llc,17,16657,1,0.0588
1E+11,Ctl Medical Corporation,71,16657,0,0
1E+11,"Grifols, S.A.",7,16657,0,0
1E+11,"Renovis Surgical Technologies, Inc.",20,16657,0,0
1E+11,Roche Health Solutions Inc.,1,16657,1,1
1E+11,Mallinckrodt Llc,5,16657,1,0.2
1E+11,"Karl Storz Lithotripsy-America, Inc.",25,16657,0,0
1E+11,"Medline Industries, Inc.",1866,16657,82,0.0439
1E+11,Purdue Pharma L.P.,12,16657,1,0.0833
1E+11,"Carl Zeiss Meditec, Inc.",2400,16657,17,0.0071
1E+11,Alcon Puerto Rico Inc,29,16657,0,0
1E+11,Quidel Corporation,571,16657,21,0.0368
1E+11,"Roche Diagnostics Operations, Inc.",4,16657,0,0
1E+11,Applied Medical Technology Inc,102,16657,13,0.1275
1E+11,Whip Mix Corporation,1,16657,0,0
1E+11,"Hospira, Inc.",92,16657,11,0.1196
1E+11,"Glaxosmithkline, Llc.",51335,16657,4147,0.0808
1E+11,"Neuronetics, Inc.",1347,16657,57,0.0423
1E+11,Olympus America Inc.,3639,16657,351,0.0965
1E+11,"Smith+Nephew, Inc.",16789,16657,293,0.0175
1E+11,Rhodes Pharmaceuticals L.P.,896,16657,11,0.0123
1E+11,"Alexion Pharmaceuticals, Inc.",10471,16657,1116,0.1066
1E+11,"Brainlab, Inc.",353,16657,4,0.0113
1E+11,Kairos Surgical Inc,111,16657,0,0
1E+11,Bayer Healthcare Pharmaceuticals Inc.,14579,16657,1760,0.1207
1E+11,Upsher-Smith Laboratories Llc,1792,16657,56,0.0312
1E+11,Arthrosurface Incorporated,1064,16657,1,0.0009
1E+11,"Johnson & Johnson Medical Devices & Diagnostics Group - Latin America, L.L.C.",12,16657,2,0.1667
1E+11,"Bard Access Systems, Inc.",1014,16657,11,0.0108
1E+11,"Bard Peripheral Vascular, Inc.",3332,16657,89,0.0267
1E+11,Community Blood Center,4,16657,0,0
1E+11,Quest Medical Inc.,7,16657,0,0
1E+11,Insulet Corporation,2572,16657,210,0.0816
1E+11,"Becton, Dickinson And Company",1795,16657,144,0.0802
1E+11,"Mindray Ds Usa, Inc.",23,16657,1,0.0435
1E+11,"Nxstage Medical, Inc.",410,16657,7,0.0171
1E+11,Davol Inc.,3050,16657,32,0.0105
1E+11,"Medivance, Inc.",13,16657,1,0.0769
1E+11,Rochester Medical Corporation,634,16657,2,0.0032
1E+11,Ultradent Products Inc,2013,16657,0,0
1E+11,"E.R. Squibb & Sons, L.L.C.",29793,16657,3992,0.134
1E+11,Cdc Medical Llc,181,16657,0,0
1E+11,"Angiodynamics, Inc.",1994,16657,126,0.0632
1E+11,"Arbor Pharmaceuticals, Inc.",11908,16657,1204,0.1011
1E+11,Ge Healthcare,2578,16657,146,0.0566
1E+11,"Coopersurgical, Inc.",4756,16657,81,0.017
1E+11,Karl Storz Endoscopy-America,1530,16657,87,0.0569
1E+11,Bristol-Myers Squibb Company,28,16657,1,0.0357
1E+11,Mylan Inc.,21,16657,1,0.0476
1E+11,"Farallon Surgical, Llc",3,16657,0,0
1E+11,Ipsen Bioscience Inc,23,16657,3,0.1304
1E+11,"Globus Medical, Inc.",1639,16657,9,0.0055
1E+11,"Joint Active Systems, Inc.",4,16657,0,0
1E+11,Ethicon Endo-Surgery Inc.,48,16657,4,0.0833
1E+11,"Cardinal Health P.R. 120, Inc.",17,16657,0,0
1E+11,Boehringer Ingelheim International Gmbh,192,16657,13,0.0677
1E+11,Keystone Dental Inc.,1403,16657,1,0.0007
1E+11,"Henry Schein, Inc.",3297,16657,6,0.0018
1E+11,Linvatec Corporation,837,16657,48,0.0573
1E+11,Viiv Healthcare Company,2808,16657,1754,0.6246
1E+11,"Trimed, Inc.",177,16657,0,0
1E+11,Kerr Corporation,1085,16657,2,0.0018
1E+11,Helena Laboratories Corporation,40,16657,12,0.3
1E+11,"Transenterix, Inc.",308,16657,4,0.013
1E+11,"Oticon Medical, Llc",78,16657,10,0.1282
1E+11,Csl Behring,6024,16657,319,0.053
1E+11,"Olympus Latin America, Inc.",48,16657,2,0.0417
1E+11,Lifewatch Services Inc,1,16657,0,0
1E+11,"Sysmex America, Inc.",50,16657,5,0.1
1E+11,"Inogen, Inc.",15,16657,4,0.2667
1E+11,Cantel Medical Corp.,2,16657,0,0
1E+11,Mylan Pharmaceuticals Inc.,2323,16657,98,0.0422
1E+11,Mylan Specialty L.P.,8228,16657,950,0.1155
1E+11,Mylan Institutional Inc.,559,16657,319,0.5707
1E+11,"Bio-Rad Laboratories, Inc.",99,16657,33,0.3333
1E+11,Viewray Technologies Inc,50,16657,3,0.06
1E+11,"Djo, Llc",1547,16657,11,0.0071
1E+11,Corin Usa,72,16657,0,0
1E+11,"C. R. Bard Foundation, Inc.",12,16657,0,0
1E+11,"Hu-Friedy Mfg. Co., Llc",905,16657,1,0.0011
1E+11,Shionogi Inc,3617,16657,1349,0.373
1E+11,Avion Pharmaceuticals,2996,16657,69,0.023
1E+11,"Janssen Research & Development, Llc",316,16657,20,0.0633
1E+11,"Janssen Global Services, Llc",104,16657,8,0.0769
1E+11,"Vector Surgical, Llc",29,16657,0,0
1E+11,Nico Corporation,6,16657,0,0
1E+11,"Depuy Synthes Products, Inc.",370,16657,4,0.0108
1E+11,Pylant Medical,576,16657,0,0
1E+11,Agfa Healthcare Corporation,32,16657,3,0.0938
1E+11,Aesculap Akademie Gmbh,6,16657,0,0
1E+11,Johnson And Johnson International,230,16657,1,0.0043
1E+11,Synthes Usa Products Llc,68,16657,1,0.0147
1E+11,Depuy Synthes Sales Inc.,10283,16657,73,0.0071
1E+11,"Vivus, Inc.",1490,16657,359,0.2409
1E+11,Gebauer Company,12,16657,2,0.1667
1E+11,Emd Millipore Corporation,43,16657,18,0.4186
1E+11,Ormco Corporation,761,16657,6,0.0079
1E+11,Bolton Medical Inc,582,16657,5,0.0086
1E+11,"Roche Molecular Systems, Inc.",39,16657,6,0.1538
1E+11,Allerderm  Laboratories,2,16657,0,0
1E+11,Biohorizons Implant Systems Inc.,3891,16657,2,0.0005
1E+11,Bioness Inc,48,16657,0,0
1E+11,"Liberty Surgical, Inc",208,16657,0,0
1E+11,Jazz Pharmaceuticals Inc.,6930,16657,808,0.1166
1E+11,Applied Medical Resources Corporation,227,16657,18,0.0793
1E+11,F. Hoffmann-La Roche Ag,584,16657,29,0.0497
1E+11,"Aesculap Implant Systems, Llc",224,16657,1,0.0045
1E+11,B. Braun Interventional Systems Inc.,98,16657,4,0.0408
1E+11,"Aesculap Biologics, Llc",44,16657,1,0.0227
1E+11,Aesculap Ag,24,16657,0,0
1E+11,Microaire Surgical Instruments Llc,34,16657,1,0.0294
1E+11,Leo Pharma As,26,16657,0,0
1E+11,"Nippon Boehringer Ingelheim Co., Ltd.",2,16657,0,0
1E+11,"Ortho-Clinical Diagnostics, Inc.",43,16657,9,0.2093
1E+11,"Surgi-Care, Inc.",4,16657,1,0.25
1E+11,Crosstex International Inc.,247,16657,0,0
1E+11,"Cumberland Pharmaceuticals, Inc.",1969,16657,291,0.1478
1E+11,Boston Scientific Corporation,30905,16657,2565,0.083
1E+11,H. Lundbeck A S,43,16657,0,0
1E+11,"Gotham Surgical Solutions & Devices, Inc.",161,16657,0,0
1E+11,"Spiration, Inc.",22,16657,0,0
1E+11,Fidia Pharma Usa Inc.,1775,16657,52,0.0293
1E+11,"Dentalez, Inc.",7,16657,0,0
1E+11,Encision Inc,17,16657,1,0.0588
1E+11,Septodont Inc.,184,16657,0,0
1E+11,"Taro Pharmaceuticals Usa, Inc.",484,16657,1,0.0021
1E+11,"Electronic Waveform Lab, Inc.",773,16657,8,0.0103
1E+11,Straumann Usa Llc,8319,16657,2,0.0002
1E+11,Gc America Inc.,1754,16657,1,0.0006
1E+11,"Biosense Webster, Inc.",1684,16657,105,0.0624
1E+11,"Dentalez Alabama, Inc.",6,16657,0,0
1E+11,Masimo Corporation,529,16657,57,0.1078
1E+11,"Esaote North America, Inc.",10,16657,1,0.1
1E+11,Medartis Inc.,452,16657,7,0.0155
1E+11,"Fujifilm Sonosite, Inc.",227,16657,36,0.1586
1E+11,Henry Schein Practice Solutions Inc.,32,16657,0,0
1E+11,"Medical Device Business Services, Inc.",5272,16657,98,0.0186
1E+11,"Carestream Dental, Llc",817,16657,0,0
1E+11,"Balt Usa, Llc",74,16657,1,0.0135
1E+11,"Henry Schein Puerto Rico, Inc.",1,16657,0,0
1E+11,Kavo Dental Technologies Llc,209,16657,0,0
1E+11,Hoffmann-La Roche Limited,204,16657,4,0.0196
1E+11,Coopervision Inc.,9186,16657,4,0.0004
1E+11,"Avanir Pharmaceuticals, Inc.",8479,16657,476,0.0561
1E+11,Applied Medical Corporation,2,16657,0,0
1E+11,Applied Medical Europe Bv,1,16657,0,0
1E+11,"Preventice Services, Llc",381,16657,65,0.1706
1E+11,Cochlear Americas,371,16657,13,0.035
1E+11,"Ventana Medical Systems, Inc.",36,16657,8,0.2222
1E+11,Resmed Corp,770,16657,122,0.1584
1E+11,"J. Morita Usa, Inc.",18,16657,0,0
1E+11,"Kowa Company, Ltd.",6,16657,0,0
1E+11,Roche Products Limited,49,16657,2,0.0408
1E+11,Institute For Transfusion Medicine,8,16657,1,0.125
1E+11,"Molnlycke Health Care Us, Llc",188,16657,25,0.133
1E+11,Trilliant Surgical Llc.,235,16657,0,0
1E+11,Astrazeneca Uk Limited,470,16657,34,0.0723
1E+11,Astellas Pharma Europe Bv,3,16657,0,0
1E+11,"Reichert, Inc.",17,16657,0,0
1E+11,Perrigo Company Plc,18,16657,1,0.0556
1E+11,"Galderma Laboratories, L.P.",6585,16657,47,0.0071
1E+11,Extremity Medical,54,16657,0,0
1E+11,Amarin Pharma Inc.,27859,16657,3732,0.134
1E+11,"Wenzel Spine, Inc.",54,16657,0,0
1E+11,"Rockwell Medical, Inc.",34,16657,3,0.0882
1E+11,"Medtronic Usa, Inc.",18425,16657,379,0.0206
1E+11,"Medtronic Vascular, Inc.",19189,16657,1326,0.0691
1E+11,"Siesta Medical, Inc.",1,16657,0,0
1E+11,Vaxserve Inc.,1,16657,0,0
1E+11,"Medtronic Minimed, Inc.",3196,16657,219,0.0685
1E+11,"Peter Brasseler Holdings, Llc",719,16657,2,0.0028
1E+11,Welch Allyn,244,16657,36,0.1475
1E+11,"Centinel Spine, Llc",355,16657,0,0
1E+11,"Conformis, Inc.",236,16657,0,0
1E+11,"Kci Usa, Inc",3979,16657,55,0.0138
1E+11,"Anika Therapeutics, Inc.",50,16657,1,0.02
1E+11,Hologic Inc,238,16657,11,0.0462
1E+11,Biomarin Pharmaceutical Inc.,339,16657,10,0.0295
1E+11,Hollister Incorporated,144,16657,11,0.0764
1E+11,"Supreme Orthopedic Systems, Llc",245,16657,0,0
1E+11,"Rsw Medical Company, Inc.",97,16657,0,0
1E+11,"Ace Surgical Supply Co., Inc.",424,16657,0,0
1E+11,"Chf Solutions, Inc",333,16657,29,0.0871
1E+11,"Celonova Biosciences, Inc.",208,16657,36,0.1731
1E+11,Phadia Us Inc.,2257,16657,228,0.101
1E+11,"Respicardia, Inc.",159,16657,11,0.0692
1E+11,Medinc Of Texas,253,16657,0,0
1E+11,Zoll Circulation Inc,98,16657,9,0.0918
1E+11,Merit Medical Systems Inc,84,16657,4,0.0476
1E+11,"Spinal Elements, Inc.",124,16657,0,0
1E+11,Boehringer Ingelheim Pty Ltd,3,16657,0,0
1E+11,"Roanoke Area Surgical Lasers, Llc",5,16657,0,0
1E+11,"Chugai Pharmaceutical Co., Ltd.",36,16657,2,0.0556
1E+11,"Medyssey Usa, Inc",4,16657,0,0
1E+11,"Sumitomo Dainippon Pharma Co., Ltd.",11,16657,3,0.2727
1E+11,Optos Plc,14,16657,1,0.0714
1E+11,"Cardinal Health 414, Llc",162,16657,9,0.0556
1E+11,"Cardinal Health 200, Llc",1072,16657,110,0.1026
1E+11,"Cardinal Health 108, Llc",67,16657,15,0.2239
1E+11,"Cardinal Health 110, Llc",44,16657,3,0.0682
1E+11,"Epimed International, Inc",39,16657,1,0.0256
1E+11,"Neurologica Corporation, A Subsidiary Of Samsung Electronics",55,16657,6,0.1091
1E+11,Cook Biotech Incorporated,14,16657,0,0
1E+11,"Inova Diagnostics, Inc.",6,16657,3,0.5
1E+11,Southtech Orthopedics,77,16657,0,0
1E+11,Wilson Cook Medical Incorporated,72,16657,28,0.3889
1E+11,Cook Medical Llc,4345,16657,212,0.0488
1E+11,Cook Incorporated,294,16657,39,0.1327
1E+11,Nextremity Solutions Inc.,45,16657,0,0
1E+11,"Cardinal Health, Inc.",2,16657,0,0
1E+11,"Ophtec Usa, Inc.",7,16657,0,0
1E+11,Medela Llc,251,16657,7,0.0279
1E+11,Medwest Associates,167,16657,0,0
1E+11,Gemini Medical Llc,172,16657,0,0
1E+11,"Sportstek Medical, Inc",108,16657,0,0
1E+11,"Mid-Atlantic Surgical Systems, Llc",168,16657,0,0
1E+11,Mentor Worldwide Llc,1945,16657,11,0.0057
1E+11,"Acclarent, Inc",2094,16657,25,0.0119
1E+11,"Actelion Pharmaceuticals, Ltd",45,16657,8,0.1778
1E+11,"Dexcom, Inc.",1675,16657,128,0.0764
1E+11,"Titan Surgical Group, Llc",38,16657,0,0
1E+11,"Inland Surgical Products, Llc",5,16657,0,0
1E+11,Peerless Surgical Inc.,283,16657,0,0
1E+11,Meridian Bioscience Inc.,112,16657,7,0.0625
1E+11,"Purelife, Llc",899,16657,0,0
1E+11,Goode Surgical Inc,203,16657,1,0.0049
1E+11,Materialise Usa Llc,1,16657,0,0
1E+11,"Navidea Biopharmaceuticals, Inc.",1,16657,0,0
1E+11,"Ellex, Inc",26,16657,0,0
1E+11,Tenex Health Inc.,110,16657,0,0
1E+11,"Prodigy Surgical Distribution, Inc.",91,16657,0,0
1E+11,"Cba Associates, Llc",1,16657,0,0
1E+11,"Active Medical, Llc",77,16657,0,0
1E+11,Ziemer Usa,10,16657,1,0.1
1E+11,Stryker Corporation,19958,16657,169,0.0085
1E+11,"Midwest Surgical Alliance, Llc",4,16657,0,0
1E+11,"Ozark Cryosurgery, Llc",7,16657,0,0
1E+11,Boehringer Ingelheim Thai Ltd,1,16657,0,0
1E+11,Ipsen Innovation,19,16657,2,0.1053
1E+11,"Rare Disease Therapeutics, Inc.",41,16657,1,0.0244
1E+11,Steris Corporation,136,16657,38,0.2794
1E+11,"Cryo Specialty Medical, Llc",10,16657,0,0
1E+11,"Biopro, Inc.",68,16657,0,0
1E+11,"Mckesson Specialty Care Distribution, Llc",92,16657,28,0.3043
1E+11,"Great Lakes Medical Services, Llc",8,16657,0,0
1E+11,"Clariance, Inc.",34,16657,0,0
1E+11,"Laser Specialty Medical, Llc",12,16657,0,0
1E+11,Valneva Austria Gmbh,8,16657,1,0.125
1E+11,"Pinnacle, Inc",299,16657,1,0.0033
1E+11,Scs Boehringer Ingelheim Comm.V,1,16657,0,0
1E+11,Dental Material Gesellschaft Mbh,2,16657,0,0
1E+11,Kuraray America Inc.,124,16657,0,0
1E+11,Boehringer Ingelheim Canada Ltd.Ltee,6,16657,2,0.3333
1E+11,American Regent,27,16657,4,0.1481
1E+11,Cochlear Ltd,10,16657,0,0
1E+11,Ortho Development Corporation,91,16657,0,0
1E+11,Exelixis Inc.,2362,16657,845,0.3577
1E+11,Wardlow Enterprises,86,16657,0,0
1E+11,"Genmark Diagnostics, Inc.",39,16657,12,0.3077
1E+11,"Fff Enterprises, Inc.",5,16657,0,0
